RELEASE_YEAR,PROD_COMPANY_NAME,BUDGET,REVENUE,PROFIT,POPULARITY,N_ANIMATION,N_COMEDY,N_FAMILY,N_ADVENTURE,N_FANTASY,N_DRAMA,N_ROMANCE,N_ACTION,N_CRIME,N_THRILLER,N_HISTORY,N_SCIENCE_FICTION,N_MYSTERY,N_HORROR,N_WAR,N_FOREIGN,N_DOCUMENTARY,N_WESTERN,N_MUSIC,N_TV_MOVIE
1956,Moulin Productions Inc.,9000000,20800000,11800000,4.31583,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1956,Paramount Pictures,56500000,334150000,277650000,9.603172599999999,0,0,0,1,0,3,1,0,1,1,1,0,1,0,1,0,0,0,0,0
1956,Ponti-De Laurentiis Cinematografica,18000000,37500000,19500000,3.6662769999999996,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1956,Twentieth Century Fox Film Corporation,18650000,108900000,90250000,3.585009875000001,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,1,2,0
1956,Warner Bros.,28800000,131800000,103000000,8.36336775,0,0,0,1,0,3,0,1,1,0,0,0,1,0,0,0,0,1,0,0
1957,Batjac Productions,3500000,4400000,900000,4.250819,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1957,Columbia Pictures Corporation,9000000,81600000,72600000,8.851646,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1957,Dear Film Produzione,3500000,4400000,900000,4.250819,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1957,Edward Small Productions,9000000,27000000,18000000,9.730217,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
1957,Horizon Pictures (II),9000000,81600000,72600000,8.851646,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1957,Orion-Nova Productions,350000,1000000,650000,16.503959,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1957,Sunset Productions,328000,8000000,7672000,0.75684,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1957,United Artists,3850000,5400000,1550000,8.335199,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1958,Alfred J. Hitchcock Productions,7437000,84000000,76563000,18.20822,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
1958,Avon Production,6000000,35140648,29140648,11.794846,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1958,Magna Theatre Corporation,18000000,110400000,92400000,2.747118,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
1958,Metro-Goldwyn-Mayer (MGM),6000000,35140648,29140648,11.794846,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
